bin_left,bin_right,count
-5.8352404,-5.2921543,1
-5.2921543,-4.7490683,0
-4.7490683,-4.2059827,1
-4.2059827,-3.6628966,2
-3.6628966,-3.1198106,3
-3.1198106,-2.5767245,4
-2.5767245,-2.0336387,8
-2.0336387,-1.4905527,9
-1.4905527,-0.94746673,33
-0.94746673,-0.4043808,170
-0.4043808,0.13870516,670
0.13870516,0.6817911,244
0.6817911,1.2248771,51
1.2248771,1.767963,24
1.767963,2.311049,18
2.311049,2.854135,9
2.854135,3.3972208,7
3.3972208,3.940307,6
3.940307,4.4833927,2
4.4833927,5.026479,2
5.026479,5.569565,3
5.569565,6.112651,1
6.112651,6.6557364,1
6.6557364,7.1988225,0
7.1988225,7.7419086,0
7.7419086,8.284994,0
8.284994,8.82808,0
8.82808,9.371166,0
9.371166,9.914252,0
9.914252,10.457338,1
