显示名,贡献值,占比(%)
CODo,127.46729484012648,77.26933888723
TempO,12.753185094587304,7.730847212229573
pHMBR,5.289911743751434,3.206689086201539
pHO,3.1266222446872924,1.8953256527496452
COD2i,2.8535660773159455,1.7298018644059159
Q2i,2.828150074202074,1.714394949555893
P,2.563147259707511,1.5537530193656228
NH3NO,2.086899164566464,1.265056412883103
DO,2.0054686986897132,1.2156941174686802
NH3N2i,1.849665514119632,1.121247859051141
pH2i,1.6809754924132205,1.0189897349536987
Q2mbr,0.46002313219648944,0.27886120390519054
