feature_value_original,partial_dependence
8.2,2.97432
10.320689655172412,2.97432
12.441379310344827,2.97432
14.562068965517241,2.97432
16.682758620689654,2.982995
18.803448275862067,3.037075
20.92413793103448,3.049597
23.044827586206896,3.0966318
25.16551724137931,3.0966318
27.28620689655172,3.1179323
29.406896551724135,3.1179323
31.52758620689655,3.1179323
33.648275862068964,3.1179323
35.76896551724138,3.1179323
37.889655172413796,3.1292946
40.01034482758621,3.1604767
42.13103448275862,3.165148
44.251724137931035,3.165148
46.37241379310345,3.165148
48.49310344827586,3.165148
50.61379310344827,3.0909047
52.734482758620686,3.1016462
54.8551724137931,3.1016462
56.97586206896551,3.1021287
59.096551724137925,2.9790916
61.21724137931034,2.8749185
63.33793103448275,3.047959
65.45862068965516,3.047959
67.57931034482759,3.0695484
69.7,3.0387335
