#genus,II_2_O,II_2_M,II_1_O,II_1_M
g_Nitrospira,0.123867,0.13079,0.146742,0.142578
g_Thauera,0.130446,0.12303,0.072004,0.071205
g_Candidatus Nitrosotenuis,0.093221,0.090677,0.102701,0.098877
g_Candidatus Nitrosocosmicus,0.014054,0.014874,0.101053,0.101317
g_Phaeodactylibacter,0.015706,0.015111,0.056882,0.056879
g_Candidatus Brocadia,0.01187,0.011544,0.057033,0.058908
g_Caldithrix,0.021531,0.021898,0.034032,0.035523
g_Candidatus Macondimonas,0.03584,0.042264,0.009023,0.008688
g_Nitrosomonas,0.016765,0.018065,0.010228,0.010162
g_Candidatus Promineofilum,0.00398,0.00439,0.019673,0.019642
g_Alicycliphilus,0.017651,0.014981,0.005797,0.005538
g_Flavilitoribacter,0.004444,0.004209,0.008493,0.008423
g_Defluviicoccus,0.005554,0.006278,0.006179,0.006181
g_Aromatoleum,0.008476,0.008339,0.003494,0.003596
g_Micavibrio,0.000747,0.000772,0.010089,0.009999
g_Steroidobacter,0.006446,0.006047,0.004456,0.004327
g_Caldilinea,0.004745,0.004919,0.005541,0.005679
g_Lautropia,0.008864,0.007843,0.001777,0.00183
g_Pseudomonas,0.005652,0.005829,0.003628,0.003585
g_Elioraea,0.003065,0.003332,0.005705,0.005991
g_Azoarcus,0.006081,0.005867,0.002568,0.002537
g_Candidatus Entotheonella,0.004055,0.004349,0.003657,0.003806
g_Bradyrhizobium,0.004471,0.004384,0.003289,0.003211
g_Nitrososphaera,0.003007,0.003033,0.004366,0.004438
g_Gemmatimonas,0.004976,0.004843,0.002337,0.002397
g_Zeimonas,0.00608,0.006015,0.001097,0.001144
g_Thermomonas,0.006684,0.006329,6.60E-05,5.20E-05
g_Azospirillum,0.003373,0.003483,0.002605,0.00266
g_Quisquiliibacterium,0.005117,0.004644,0.001079,0.001063
g_Methanosarcina,0.001553,0.001773,0.004238,0.004147
Others,0.421679,0.420088,0.310168,0.315617
