#phylum,II_2_O,II_2_M,II_1_O,II_1_M
p_Proteobacteria,0.42234,0.416598,0.281573,0.275772
p_Calditrichaeota,0.072314,0.073777,0.226999,0.235136
p_Planctomycetota,0.140633,0.13867,0.048352,0.048837
p_Nitrospirae,0.070754,0.076168,0.093634,0.090873
p_Bacteroidota,0.031621,0.031246,0.084373,0.083796
p_Chloroflexi,0.063149,0.064342,0.049087,0.049626
p_Thaumarchaeota,0.028707,0.028507,0.059849,0.058306
p_Acidobacteria,0.033906,0.033794,0.038401,0.038432
p_Gemmatimonadetes,0.050402,0.048471,0.016215,0.016319
p_Actinobacteria,0.022327,0.023701,0.013807,0.013937
p_Ignavibacteriae,0.006631,0.006597,0.014833,0.015218
p_Euryarchaeota,0.003604,0.003611,0.010741,0.010799
p_Verrucomicrobia,0.006066,0.006094,0.00776,0.007731
p_Cyanobacteria,0.005837,0.005981,0.007341,0.007415
p_Firmicutes,0.004465,0.004528,0.005517,0.005818
p_Candidatus Eisenbacteria,0.00397,0.003914,0.002745,0.002817
p_Candidatus Marinimicrobia,0.002817,0.003178,0.003217,0.00332
p_Deinococcus-Thermus,0.004161,0.00398,0.000611,0.000624
p_Candidatus Latescibacteria,0.002035,0.00202,0.002209,0.002322
p_Candidatus Rokubacteria,0.00242,0.002478,0.001478,0.001507
p_Candidatus Aminicenantes,0.001026,0.001007,0.002684,0.002713
p_candidate division Zixibacteria,0.00126,0.001206,0.002518,0.002417
p_Chlorobi,0.001331,0.001282,0.00227,0.002332
p_Candidatus Melainabacteria,0.002202,0.002281,0.001002,0.001029
p_Candidatus Omnitrophica,0.000522,0.000527,0.00231,0.002332
p_Candidatus Tectomicrobia,0.001141,0.001227,0.001058,0.001076
p_Spirochaetes,0.000803,0.000814,0.001082,0.001119
p_Balneolaeota,0.000894,0.000909,0.000981,0.000984
p_Armatimonadetes,0.001034,0.001049,0.000829,0.00085
p_Candidatus Dadabacteria,0.000664,0.000704,0.000886,0.000894
Others,0.010964,0.011339,0.015638,0.015649
